customer_id,month,month_index,scenario,event,income,essential_spending,discretionary_spending,balance,emi,debt,credit_limit,credit_utilization,missed_payments,savings_buffer,income_change_pct,expense_to_income_pct,sustained_distress
C00001,2025-01-01,1,persistent_debt_stress,debt pressure,1673.01,703.11,471.85,1784.06,250.0,3533.44,7539.03,0.1743,0,1672.44,-2.46,70.23,0
C00001,2025-02-01,2,persistent_debt_stress,debt pressure,1632.19,745.34,489.66,1717.44,253.0,3539.77,7539.03,0.1672,1,1635.8,-2.44,75.67,0
C00001,2025-03-01,3,persistent_debt_stress,debt pressure,1774.66,593.45,532.4,2110.26,256.0,3563.67,7539.03,0.1555,1,1851.85,8.73,63.44,0
C00001,2025-04-01,4,persistent_debt_stress,debt pressure,1751.13,525.34,525.34,2374.66,259.0,3582.84,7539.03,0.2013,2,1997.27,-1.33,60.0,0
C00001,2025-05-01,5,persistent_debt_stress,debt pressure,1714.2,694.93,514.26,2617.67,262.0,3591.89,7539.03,0.2284,2,2130.93,-2.11,70.54,0
C00001,2025-06-01,6,persistent_debt_stress,debt pressure,1711.24,745.81,306.69,3011.41,265.0,3555.41,7539.03,0.1762,2,2347.48,-0.17,61.51,0
C00001,2025-07-01,7,persistent_debt_stress,debt pressure,1852.99,759.22,555.9,3281.28,268.0,3568.26,7539.03,0.2009,2,2495.91,8.28,70.97,0
C00001,2025-08-01,8,persistent_debt_stress,debt pressure,1716.48,821.58,514.94,3390.23,271.0,3648.55,7539.03,0.2248,2,2555.83,-7.37,77.86,0
C00001,2025-09-01,9,persistent_debt_stress,debt pressure,1744.03,548.34,460.0,3851.92,274.0,3671.5,7539.03,0.2158,2,2809.76,1.61,57.82,0
C00001,2025-10-01,10,persistent_debt_stress,debt pressure,1720.77,520.91,516.23,4258.55,277.0,3723.23,7539.03,0.2271,2,3033.41,-1.33,60.27,0
C00001,2025-11-01,11,persistent_debt_stress,debt pressure,1675.05,663.82,502.52,4487.27,280.0,3772.57,7539.03,0.1916,2,3159.2,-2.66,69.63,0
C00001,2025-12-01,12,persistent_debt_stress,debt pressure,1710.48,680.18,510.84,4723.72,283.0,3804.62,7539.03,0.1828,2,3289.25,2.11,69.63,0
C00002,2025-01-01,1,rising_expenses,rising essentials,2873.17,1938.34,88.32,5414.39,238.75,5954.89,4302.34,0.5135,0,5140.89,-6.6,70.54,0
C00002,2025-02-01,2,rising_expenses,rising essentials,2511.51,1931.38,325.49,5430.28,238.75,5951.08,4302.34,0.5264,0,5149.63,-12.59,89.86,0
C00002,2025-03-01,3,rising_expenses,rising essentials,3207.35,2133.87,435.82,5829.2,238.75,5895.56,4302.34,0.5466,0,5369.04,27.71,80.12,0
C00002,2025-04-01,4,rising_expenses,rising essentials,3140.64,2461.37,538.2,5731.52,238.75,5967.5,4302.34,0.5974,0,5315.31,-2.08,95.51,0
C00002,2025-05-01,5,rising_expenses,rising essentials,2984.71,2407.12,198.71,5871.65,238.75,5929.76,4302.34,0.4878,0,5392.39,-4.96,87.31,1
C00002,2025-06-01,6,rising_expenses,rising essentials,3240.39,2337.69,383.77,6151.84,238.75,5869.02,4302.34,0.555,0,5546.49,8.57,83.99,1
C00002,2025-07-01,7,rising_expenses,rising essentials,2931.81,2113.75,568.29,6162.86,238.75,5867.24,4302.34,0.4985,0,5552.55,-9.52,91.48,0
C00002,2025-08-01,8,rising_expenses,rising essentials,3162.58,2602.6,158.12,6325.98,238.75,5824.2,4302.34,0.6224,0,5642.27,7.87,87.29,0
C00002,2025-09-01,9,rising_expenses,rising essentials,2955.33,2541.58,373.01,5915.94,238.75,5986.96,4302.34,0.6613,1,5416.74,-6.55,98.62,1
C00002,2025-10-01,10,rising_expenses,rising essentials,3187.19,2273.75,515.83,6074.8,238.75,5947.14,4302.34,0.6069,1,5504.12,7.85,87.52,1
C00002,2025-11-01,11,rising_expenses,rising essentials,2933.25,2285.52,518.98,5847.99,238.75,6001.71,4302.34,0.6847,2,5379.37,-7.97,95.61,1
